frame_n,nano_sec,sec,size,compression rate,n_change,
471,54265400,0,519831095,0.82056,200,0.00542654
472,69402800,0,527151933,0.830357,200,0.00694028
473,83390400,0,534890819,0.840769,200,0.00833904
474,67870600,0,542260923,0.85056,200,0.00678706
475,54243700,0,549462209,0.860045,200,0.00542437
476,59497900,0,556912327,0.869878,200,0.00594979
477,72156900,0,419472840,0.653832,200,0.00721569
478,51561000,0,425677518,0.662118,200,0.0051561
479,90317000,0,431907028,0.670408,200,0.0090317
480,59890700,0,438161171,0.678702,200,0.00598907
481,103037700,0,444439833,0.686999,200,0.01030377
482,50302900,0,450743583,0.695301,200,0.00503029
483,50790400,0,457071849,0.703605,200,0.00507904
484,72274100,0,464489455,0.71355,200,0.00722741
485,47942600,0,471968757,0.723548,200,0.00479426
486,45863200,0,479473204,0.733543,200,0.00458632
487,45487200,0,486969658,0.743485,200,0.00454872
488,47304900,0,494714432,0.753765,200,0.00473049
489,62440600,0,505526911,0.768667,200,0.00624406
490,57537300,0,513320837,0.778928,200,0.00575373
491,58617700,0,520946059,0.788892,200,0.00586177
492,47788600,0,528561411,0.798801,200,0.00477886
493,56127900,0,536426249,0.809046,200,0.00561279
494,55191700,0,544282639,0.819237,200,0.00551917
495,51741600,0,552003406,0.829183,200,0.00517416
496,51727000,0,559941460,0.839414,200,0.0051727
497,59484000,0,567870042,0.849591,200,0.0059484
498,54375000,0,575664025,0.859525,200,0.0054375
499,67907600,0,583835039,0.869982,200,0.00679076
500,223257800,0,722259361,1.0741,200,0.02232578
501,30513500,0,723554841,1.07389,200,0.00305135
502,30327600,0,725035551,1.07394,200,0.00303276
503,37238600,0,725797245,1.07294,200,0.00372386
504,38505600,0,564120885,0.832283,200,0.00385056
505,46427200,0,564772667,0.831598,200,0.00464272
506,35855100,0,565449281,0.830952,200,0.00358551
507,27857300,0,566151552,0.830346,200,0.00278573
508,27063000,0,566879366,0.82978,200,0.0027063
509,30451100,0,567632780,0.829254,200,0.00304511
510,44371800,0,568411734,0.828767,200,0.00443718
511,32906300,0,569924700,0.82935,200,0.00329063
512,32543900,0,571500130,0.830021,200,0.00325439
513,33188000,0,573068193,0.830679,200,0.0033188
514,31698400,0,574887079,0.831698,200,0.00316984
515,34959200,0,576501933,0.832417,200,0.00349592
516,31339600,0,578179308,0.833225,200,0.00313396
517,29576000,0,580041970,0.834295,200,0.0029576
518,30713100,0,581770232,0.835169,200,0.00307131
519,39623900,0,583683952,0.836305,200,0.00396239
520,33431800,0,585459318,0.837238,200,0.00334318
521,34101300,0,587423612,0.838438,200,0.00341013
522,33351700,0,589253819,0.839442,200,0.00333517
523,33279000,0,591302081,0.840753,200,0.0033279
524,35127400,0,593150407,0.841774,200,0.00351274
525,41050700,0,595245318,0.843141,200,0.00410507
526,34726100,0,597337100,0.844499,200,0.00347261
527,33185600,0,599294738,0.845662,200,0.00331856
528,35814000,0,601437578,0.847081,200,0.0035814
529,40131800,0,603638672,0.848577,200,0.00401318
530,40065700,0,605639830,0.849787,200,0.00400657
531,37818600,0,607891157,0.851342,200,0.00378186
532,41412700,0,609938139,0.852607,200,0.00414127
533,30823900,0,612170465,0.854125,200,0.00308239
534,30664400,0,614547232,0.855838,200,0.00306644
535,33596600,0,616777254,0.857341,200,0.00335966
536,33965500,0,619032620,0.858874,200,0.00339655
537,45202600,0,621620982,0.860862,200,0.00452026
538,38609800,0,624742652,0.86358,200,0.00386098
539,33066900,0,627770626,0.866158,200,0.00330669
540,48210600,0,631295041,0.869411,200,0.00482106
541,39136500,0,604170856,0.830521,200,0.00391365
542,36398600,0,606750062,0.83253,200,0.00363986
543,32797100,0,609354925,0.834568,200,0.00327971
544,41459900,0,611812531,0.836396,200,0.00414599
545,42487800,0,614467513,0.838487,200,0.00424878
546,46004000,0,617114929,0.84056,200,0.0046004
547,55657300,0,619815479,0.842698,200,0.00556573
548,55248400,0,622545725,0.844868,200,0.00552484
549,44189200,0,625300860,0.847064,200,0.00441892
550,105301400,0,628862594,0.850343,200,0.01053014
551,37915300,0,631663496,0.852583,200,0.00379153
552,41514300,0,634493895,0.854855,200,0.00415143
553,40480100,0,637177549,0.856921,200,0.00404801
554,37289200,0,639795923,0.858892,200,0.00372892
555,52713600,0,396495530,0.531317,200,0.00527136
