frame_n,nano_sec,sec,size,compression rate,
355,27146900,0,63549635,0.133,0.00271469
356,26801300,0,63549635,0.132628,0.00268013
357,29696200,0,63549635,0.132257,0.00296962
358,27398200,0,63549635,0.131889,0.00273982
359,25918000,0,63549635,0.131523,0.0025918
360,25740600,0,63549635,0.131158,0.00257406
361,26617000,0,44873889,0.0923581,0.0026617
362,27142800,0,45585575,0.0935645,0.00271428
363,27606000,0,46297261,0.0947641,0.0027606
364,28887800,0,47008947,0.0959572,0.00288878
365,29514700,0,47720633,0.0971438,0.00295147
366,32601100,0,48432319,0.098324,0.00326011
367,34480300,0,49144005,0.0994977,0.00344803
368,37298000,0,49855691,0.100665,0.0037298
369,27126200,0,50567434,0.101826,0.00271262
370,27580500,0,51279120,0.102981,0.00275805
371,30185700,0,51990806,0.104129,0.00301857
372,32329500,0,52702492,0.105272,0.00323295
373,27711200,0,53414178,0.106408,0.00277112
374,29183600,0,54125864,0.107538,0.00291836
375,27100900,0,54837550,0.108663,0.00271009
376,26410000,0,55549236,0.109781,0.002641
377,24737500,0,56278330,0.110928,0.00247375
378,27767500,0,57007424,0.112068,0.00277675
379,31238700,0,57736518,0.113203,0.00312387
380,34785800,0,58465612,0.114331,0.00347858
381,30746800,0,59194706,0.115454,0.00307468
382,30806400,0,59942232,0.116607,0.00308064
383,39859600,0,60689758,0.117754,0.00398596
384,27890300,0,61437341,0.118895,0.00278903
385,25675300,0,62184867,0.120029,0.00256753
386,26664200,0,62932393,0.121158,0.00266642
387,26784300,0,63679919,0.122282,0.00267843
388,31751500,0,64427445,0.123399,0.00317515
389,29617500,0,65174971,0.124511,0.00296175
390,25438300,0,65935809,0.125642,0.00254383
391,30354900,0,66696647,0.126768,0.00303549
392,27095600,0,67457485,0.127887,0.00270956
393,27768300,0,68218323,0.129002,0.00277683
394,29356200,0,68979161,0.13011,0.00293562
395,29204600,0,69739999,0.131213,0.00292046
396,29566600,0,70518245,0.132343,0.00295666
397,32056600,0,71296491,0.133467,0.00320566
398,33025700,0,72074737,0.134586,0.00330257
399,31992100,0,72074737,0.13425,0.00319921
400,26221000,0,72074737,0.133915,0.0026221
401,26820300,0,72074737,0.133582,0.00268203
402,28742400,0,72074737,0.13325,0.00287424
403,31932700,0,72074737,0.13292,0.00319327
404,26304200,0,72074737,0.132592,0.00263042
405,34874800,0,72074737,0.132266,0.00348748
406,25759900,0,72074737,0.131941,0.00257599
407,29547500,0,72074737,0.131617,0.00295475
408,27802500,0,72074737,0.131296,0.00278025
409,30550800,0,44606349,0.0810593,0.00305508
410,29738900,0,45421459,0.0823397,0.00297389
411,32555900,0,46236569,0.0836139,0.00325559
412,30506300,0,47051679,0.0848819,0.00305063
413,33357700,0,47866789,0.0861438,0.00333577
414,31719700,0,48681899,0.0873996,0.00317197
415,26308000,0,49497066,0.0886495,0.0026308
416,29502600,0,50312176,0.0898933,0.00295026
417,27536500,0,51127286,0.0911311,0.00275365
418,26927500,0,51942396,0.092363,0.00269275
419,26462700,0,52757506,0.0935891,0.00264627
420,27699900,0,53572616,0.0948093,0.00276999
421,29034000,0,54387726,0.0960237,0.0029034
422,26839900,0,55216148,0.0972559,0.00268399
423,26899600,0,56044570,0.0984822,0.00268996
424,31737200,0,56872992,0.0997028,0.00317372
425,28736100,0,57701414,0.100918,0.00287361
426,30798900,0,58529836,0.102127,0.00307989
427,28890400,0,59358258,0.10333,0.00288904
428,30633700,0,60186680,0.104528,0.00306337
429,33863700,0,61015102,0.10572,0.00338637
430,36693800,0,61843524,0.106907,0.00366938
431,34422300,0,62671946,0.108089,0.00344223
432,32781800,0,63500368,0.109264,0.00327818
433,51414800,0,63500368,0.109013,0.00514148
434,28344100,0,63500368,0.108762,0.00283441
435,26477300,0,63500368,0.108513,0.00264773
436,26777600,0,63500368,0.108264,0.00267776
437,26070000,0,63500368,0.108017,0.002607
438,27332700,0,44045073,0.074752,0.00273327
439,24670500,0,44884759,0.076004,0.00246705
440,26208800,0,45724445,0.0772503,0.00262088
441,32780000,0,46564131,0.0784909,0.003278
442,35035900,0,47403817,0.079726,0.00350359
443,29703400,0,48243503,0.0809554,0.00297034
444,28864100,0,49083189,0.0821794,0.00288641
445,31564800,0,49922875,0.0833979,0.00315648
446,32871600,0,50762561,0.0846109,0.00328716
447,34613600,0,51602247,0.0858185,0.00346136
448,34074800,0,52441933,0.0870207,0.00340748
449,33780900,0,53281619,0.0882176,0.00337809
450,36464100,0,54135641,0.0894328,0.00364641
451,27001600,0,54989720,0.0906428,0.00270016
452,27422700,0,55843742,0.0918473,0.00274227
453,27241200,0,56697764,0.0930465,0.00272412
454,25838400,0,57569194,0.094269,0.00258384
455,29813300,0,58448816,0.0954995,0.00298133
456,30045300,0,59328438,0.0967246,0.00300453
457,31537900,0,60208060,0.0979443,0.00315379
458,33606800,0,61087682,0.0991588,0.00336068
459,35686600,0,61967304,0.100368,0.00356866
460,31329100,0,62846983,0.101572,0.00313291
461,27662600,0,63726605,0.102771,0.00276626
462,26437700,0,64606227,0.103964,0.00264377
463,27253000,0,65485849,0.105153,0.0027253
464,28427700,0,66365471,0.106336,0.00284277
465,29129200,0,67245093,0.107514,0.00291292
466,28082000,0,68140075,0.108712,0.0028082
467,27810100,0,69035057,0.109904,0.00278101
468,30412900,0,69930039,0.111092,0.00304129
