frame_n,nano_sec,sec,size,compression rate,n_change,
334,78478800,0,1706383766,3.79509,200,8782342
335,66536300,0,1715189973,3.80332,200,8806207
336,68700900,0,1724019931,3.81156,200,8829958
337,64671700,0,1732872929,3.8198,200,8852998
338,54020000,0,1741749792,3.82804,200,8876863
339,55574100,0,1750650662,3.83628,200,8900870
340,57922300,0,1759575084,3.84453,200,8924422
341,61276000,0,1768523172,3.85278,200,8948088
342,62519100,0,1777494954,3.86104,200,8971782
343,70794100,0,1786490544,3.8693,200,8995590
344,55795800,0,1795511023,3.87757,200,9020479
345,57917500,0,1804554741,3.88583,200,9043718
346,61703400,0,1813622011,3.8941,200,9067270
347,78939500,0,1822712890,3.90238,200,9090879
348,86720400,0,1831828544,3.91066,200,9115654
349,86534200,0,1840968774,3.91894,200,9140230
350,85878900,0,1850133264,3.92723,200,9164490
351,65166300,0,1859321366,3.93552,200,9188102
352,58898600,0,1868532764,3.94381,200,9211398
353,80705400,0,1877768027,3.95211,200,9235263
354,60968300,0,1887026785,3.96041,200,9258758
355,59359500,0,1896309351,3.96871,200,9282566
356,66710800,0,1905613990,3.97701,200,9304639
357,64917900,0,1914941612,3.98531,200,9327622
358,54304200,0,1924292786,3.99362,200,9351174
359,56923100,0,1933667370,4.00193,200,9374584
360,66798200,0,1943065648,4.01024,200,9398278
361,64684000,0,1952487222,4.01855,200,9421574
362,84912300,0,1961932917,4.02687,200,9445695
363,90149500,0,1971401595,4.03519,200,9468678
364,91910100,0,1980893057,4.04351,200,9491462
365,51896800,0,1990409152,4.05183,200,9516095
366,63255400,0,1999948742,4.06016,200,9539590
367,59416700,0,2009512140,4.06849,200,9563398
368,58382200,0,2019098692,4.07682,200,9586552
369,70073900,0,2028708682,4.08515,200,9609990
370,66435800,0,2038342736,4.09349,200,9634054
371,65107000,0,2048001423,4.10183,200,9658687
372,57015200,0,2057684629,4.11017,200,9683206
373,57637500,0,2067391387,4.11852,200,9706758
374,65112000,0,2077120730,4.12687,200,9729343
375,59559700,0,2086873056,4.13522,200,9752326
376,61150800,0,2096649190,4.14357,200,9776134
377,83927100,0,2106449328,4.15192,200,9800138
378,67900700,0,2116272822,4.16028,200,9823494
379,71787300,0,2126118588,4.16864,200,9845766
380,55724400,0,2135988475,4.177,200,9869887
381,61787000,0,2145881601,4.18536,200,9893126
382,68716300,0,2155797511,4.19372,200,9915910
383,60262400,0,2165737798,4.20208,200,9940287
384,65484600,0,2175702092,4.21045,200,9964294
385,60250300,0,2185689938,4.21882,200,9987846
386,55707700,0,2195702218,4.2272,200,10012280
387,59287300,0,2205737680,4.23557,200,10035462
388,65771900,0,2215797206,4.24395,200,10059526
389,62586300,0,2225879317,4.25233,200,10082111
390,63040700,0,2235986459,4.26072,200,10107142
391,75723700,0,2246117665,4.2691,200,10131206
392,69075500,0,2256272224,4.27749,200,10154559
393,75522100,0,2266448742,4.28588,200,10176518
394,75012400,0,2276647532,4.29426,200,10198790
395,89116400,0,2286870756,4.30266,200,10223224
396,70234600,0,2297118186,4.31105,200,10247430
397,78546000,0,2307389936,4.31945,200,10271750
398,69486200,0,2317685807,4.32785,200,10295871
399,79436600,0,2328005685,4.33625,200,10319878
400,68119500,0,2338349115,4.34465,200,10343430
401,57631900,0,2348717178,4.35306,200,10368063
402,62982200,0,2359107712,4.36147,200,10390534
403,66087300,0,2369522822,4.36988,200,10415110
404,66045200,0,2379960400,4.37829,200,10437578
405,52338600,0,2390422102,4.38671,200,10461702
406,58079400,0,2400906844,4.39512,200,10484742
407,55332800,0,2411415195,4.40354,200,10508351
408,60749400,0,2421948065,4.41196,200,10532870
409,78915900,0,2432503975,4.42038,200,10555910
410,85607400,0,2443083494,4.42881,200,10579519
